Client_ID,Age,Annual_Income_USD,Credit_Score,Debt_To_Income_Ratio,Credit_Utilization_Rate,Target_Label
10001,59,29324,735,0.52,0.21,1
10002,49,101323,839,0.19,0.77,1
10003,35,34111,727,0.44,0.55,1
10004,63,63110,508,0.17,0.41,0
10005,28,41389,665,0.51,0.17,1
10006,41,66427,818,0.46,0.83,1
10007,59,104579,713,0.63,0.19,1
10008,39,53746,616,0.14,0.33,0
10009,43,112886,843,0.13,0.31,1
10010,31,132141,571,0.26,0.83,0
10011,31,25117,563,0.24,0.66,0
10012,44,137221,704,0.24,0.77,1
10013,56,109471,708,0.6,0.28,1
10014,60,137613,571,0.24,0.61,0
10015,44,38234,776,0.25,0.56,1
10016,23,128864,773,0.52,0.8,1
10017,42,78441,819,0.35,0.87,1
10018,22,25846,837,0.53,0.06,1
10019,44,35954,594,0.14,0.66,0
10020,64,104239,665,0.37,0.1,1
10021,50,138689,531,0.12,0.54,0
10022,58,71514,510,0.13,0.31,0
10023,22,113236,800,0.6,0.33,1
10024,41,122579,716,0.18,0.37,1
10025,53,31469,788,0.39,0.61,1
10026,32,55105,601,0.33,0.35,0
10027,42,67101,766,0.29,0.71,1
10028,64,89323,713,0.59,0.41,1
10029,45,116922,678,0.11,0.11,1
10030,69,83067,587,0.47,0.76,0
10031,47,74376,540,0.63,0.31,0
10032,62,70587,575,0.41,0.44,0
10033,48,61976,545,0.62,0.67,0
10034,36,129587,659,0.13,0.35,1
10035,35,92584,579,0.33,0.1,0
10036,67,129537,809,0.24,0.39,1
10037,64,103477,585,0.5,0.9,0
10038,23,135911,591,0.64,0.63,0
10039,57,67533,647,0.24,0.65,0
10040,27,26828,660,0.46,0.62,1
10041,41,26917,701,0.21,0.23,1
10042,29,45618,741,0.41,0.43,1
10043,59,57254,501,0.36,0.73,0
10044,38,130292,724,0.63,0.14,1
10045,24,72362,788,0.43,0.3,1
10046,45,45128,732,0.29,0.3,1
10047,34,136281,576,0.16,0.44,0
10048,29,84383,615,0.18,0.93,0
10049,46,90545,653,0.22,0.11,1
10050,22,107180,602,0.24,0.52,0
10051,40,112958,693,0.57,0.21,1
10052,48,34865,665,0.41,0.92,1
10053,67,27219,589,0.39,0.15,0
10054,27,64809,673,0.16,0.41,1
10055,64,30287,621,0.57,0.71,0
10056,28,59387,642,0.5,0.68,0
10057,67,33512,605,0.14,0.43,0
10058,55,26342,804,0.49,0.36,1
10059,34,88076,816,0.4,0.41,1
10060,37,133872,622,0.14,0.29,0
10061,56,44216,508,0.35,0.23,0
10062,60,118070,761,0.37,0.48,1
10063,24,104767,572,0.19,0.29,0
10064,22,122829,722,0.62,0.31,1
10065,26,51614,540,0.57,0.64,0
10066,62,61258,703,0.47,0.92,1
10067,24,118789,763,0.35,0.59,1
10068,49,67078,827,0.33,0.12,1
10069,38,131288,677,0.46,0.12,1
10070,46,108524,847,0.4,0.91,1
10071,64,121573,817,0.13,0.32,1
10072,54,37219,583,0.38,0.13,0
10073,30,25235,817,0.54,0.59,1
10074,56,67929,610,0.35,0.61,0
10075,34,92444,750,0.13,0.63,1
10076,51,33567,506,0.53,0.29,0
10077,68,126834,583,0.21,0.06,0
10078,35,95792,707,0.24,0.92,1
10079,28,90441,813,0.19,0.28,1
10080,34,109555,521,0.28,0.66,0
10081,43,98698,502,0.52,0.69,0
10082,60,30415,626,0.39,0.6,0
10083,41,61159,796,0.21,0.33,1
10084,36,68925,687,0.58,0.29,1
10085,65,30951,513,0.58,0.59,0
10086,38,112388,511,0.58,0.83,0
10087,67,33007,586,0.23,0.9,0
10088,44,66832,511,0.35,0.15,0
10089,46,83596,524,0.64,0.19,0
10090,45,55523,800,0.52,0.9,1
10091,65,113861,742,0.11,0.71,1
10092,61,111740,621,0.14,0.84,0
10093,49,40524,646,0.36,0.23,0
10094,35,44282,554,0.6,0.58,0
10095,65,48930,737,0.4,0.68,1
10096,21,25077,672,0.37,0.66,1
10097,45,130881,720,0.16,0.42,1
10098,27,45611,618,0.46,0.06,0
10099,29,41984,808,0.55,0.57,1
10100,44,39060,682,0.31,0.28,1
10101,21,107985,787,0.53,0.46,1
10102,64,109056,806,0.63,0.91,1
10103,28,68303,799,0.21,0.41,1
10104,44,84207,581,0.39,0.81,0
10105,31,100046,710,0.26,0.22,1
10106,37,54287,649,0.54,0.66,0
10107,28,118709,536,0.42,0.93,0
10108,55,64711,811,0.45,0.14,1
10109,55,36954,558,0.54,0.06,0
10110,53,98340,630,0.32,0.44,0
10111,25,97101,701,0.6,0.13,1
10112,62,96520,742,0.39,0.72,1
10113,59,112062,534,0.19,0.87,0
10114,61,127974,592,0.48,0.44,0
10115,48,43574,706,0.54,0.28,1
10116,27,34184,831,0.27,0.44,1
10117,29,44096,804,0.57,0.7,1
10118,28,92728,849,0.6,0.06,1
10119,32,59016,712,0.25,0.58,1
10120,54,36246,658,0.64,0.6,1
10121,53,70558,523,0.18,0.62,0
10122,68,43381,792,0.21,0.27,1
10123,43,61455,503,0.2,0.69,0
10124,44,117263,719,0.59,0.13,1
10125,57,29018,519,0.46,0.23,0
10126,55,36302,651,0.18,0.84,1
10127,64,92506,549,0.34,0.71,0
10128,60,66157,676,0.44,0.06,1
10129,42,79917,595,0.15,0.27,0
10130,47,117738,604,0.59,0.24,0
10131,55,121646,749,0.54,0.29,1
10132,21,108122,616,0.38,0.27,0
10133,55,49519,727,0.63,0.11,1
10134,57,121809,565,0.33,0.46,0
10135,67,112487,834,0.64,0.71,1
10136,34,81819,761,0.47,0.6,1
10137,23,105910,794,0.45,0.66,1
10138,21,96324,742,0.19,0.12,1
10139,25,30408,685,0.59,0.91,1
10140,46,84379,745,0.34,0.8,1
10141,34,50053,624,0.19,0.77,0
10142,59,34446,767,0.11,0.79,1
10143,47,25922,630,0.41,0.89,0
10144,29,123723,736,0.39,0.54,1
10145,35,76356,517,0.5,0.23,0
10146,35,35789,539,0.59,0.61,0
10147,46,122720,520,0.14,0.72,0
10148,62,91656,724,0.5,0.71,1
10149,33,69028,781,0.2,0.52,1
10150,52,89484,507,0.57,0.11,0
10151,59,57154,599,0.55,0.38,0
